feature,importance_gain
pH__std,0.28137222
viability_pct__std,0.19889422
DO_pct__std,0.13350269
DO_pct__max,0.120836996
lactate_g_L__max,0.05692476
feed_rate_A_mL_h__mean,0.04889313
agitation_rpm__slope,0.038094524
temperature_C__std,0.034561172
agitation_rpm__max,0.015454838
agitation_rpm__min,0.015091071
feed_rate_A_mL_h__min,0.011286552
pH__max,0.0068834387
feed_rate_A_mL_h__std,0.0036513284
pH__min,0.003375114
pH__slope,0.002764627
temperature_C__min,0.0023027717
lactate_g_L__auc,0.0019458934
glucose_g_L__max,0.0018224716
lactate_g_L__std,0.0017509334
temperature_C__max,0.0017271056
DO_pct__mean,0.0015981366
temperature_C__mean,0.0013100525
lactate_g_L__slope,0.0012810192
VCD_e6_mL__min,0.0010978593
DO_pct__slope,0.0010502107
viability_pct__min,0.0007811251
feed_rate_A_mL_h__slope,0.0007562667
pH__mean,0.00075068045
lactate_g_L__mean,0.0007177462
agitation_rpm__std,0.00063858076
viability_pct__max,0.0005761488
VCD_e6_mL__std,0.0005499415
glucose_g_L__min,0.0005496551
lactate_g_L__min,0.00050226145
feed_rate_B_mL_h__min,0.0004970274
viability_pct__slope,0.00047895938
glucose_g_L__std,0.0004500053
DO_pct__auc,0.00042234623
VCD_e6_mL__mean,0.00040254663
glucose_g_L__auc,0.00037449648
feed_rate_B_mL_h__std,0.00035647806
feed_rate_B_mL_h__max,0.00034796982
VCD_e6_mL__auc,0.00032125416
feed_rate_A_mL_h__max,0.00029211314
viability_pct__mean,0.00028520948
VCD_e6_mL__max,0.00027425154
DO_pct__min,0.00027354842
feed_rate_B_mL_h__slope,0.000206399
temperature_C__slope,0.00020528346
glucose_g_L__slope,0.00020335373
agitation_rpm__mean,0.00019028828
feed_rate_B_mL_h__auc,0.00017639698
VCD_e6_mL__slope,0.00017186174
temperature_C__auc,0.00014855075
pH__auc,0.00014059938
agitation_rpm__auc,0.00013507839
feed_rate_B_mL_h__mean,0.00011901469
glucose_g_L__mean,0.00010654213
feed_rate_A_mL_h__auc,7.5004595e-05
viability_pct__auc,4.985929e-05
